document name,begin offset,end offset,context left,text,context right
skylax_syntaxtrees_perseus.conllu,1451,1454,. Σαρδώ. ,ἀπὸ, δὲ Κύρνου νήσου
skylax_syntaxtrees_perseus.conllu,1471,1474,δὲ Κύρνου νήσου ,εἰς, Σαρδὼ νῆσον πλοῦς
skylax_syntaxtrees_perseus.conllu,1530,1532,καὶ νῆσος ἐρήμη ,ἐν, τῷ μεταξύ.
skylax_syntaxtrees_perseus.conllu,1544,1547,τῷ μεταξύ. ,ἀπὸ, Σαρδοῦς δὲ εἰς
skylax_syntaxtrees_perseus.conllu,1559,1562,ἀπὸ Σαρδοῦς δὲ ,εἰς, Λιβύην πλοῦς ἡμέρας
skylax_syntaxtrees_perseus.conllu,1595,1598,καὶ νυκτός. ,εἰς, δὲ Σικελίαν ἀπὸ
skylax_syntaxtrees_perseus.conllu,1611,1614,εἰς δὲ Σικελίαν ,ἀπὸ, Σαρδοῦς πλοῦς ἡμερῶν
skylax_syntaxtrees_perseus.conllu,1670,1673,ἐπάνειμι δὲ πάλιν ,ἐπὶ," τὴν ἤπειρον,"
skylax_syntaxtrees_perseus.conllu,1692,1695,"ἤπειρον, ὅθεν ",εἰς, τὴν Κύρνον ἐξετραπόμην
skylax_syntaxtrees_perseus.conllu,1755,1760,Τυρρηνίας ἔχονται Λατῖνοι ,μέχρι, τοῦ Κιρκαίου.
skylax_syntaxtrees_perseus.conllu,1987,1989,πόλεις Ἑλληνίδες αὗται ,ἐν, τῇ Καμπανίᾳ·
skylax_syntaxtrees_perseus.conllu,2019,2023,", Νεάπολις. ",κατὰ, ταῦτά ἐστι Πιθηκοῦσσα
skylax_syntaxtrees_perseus.conllu,2238,2243,δὲ ἔχονται Λευκανοὶ ,μέχρι, Θουρίας. ὁ
skylax_syntaxtrees_perseus.conllu,2269,2273,πλοῦς δέ ἐστι ,παρὰ, Λευκανίαν ἡμερῶν ϛʹ
skylax_syntaxtrees_perseus.conllu,2335,2337,ἐστὶν ἀκτή. ,ἐν, ταύτῃ πόλεις εἰσὶν
skylax_syntaxtrees_perseus.conllu,2501,2505,. Σικελία. ,κατὰ, δὲ Ῥήγιόν ἐστι
skylax_syntaxtrees_perseus.conllu,2536,2539,"Σικελία νῆσος, ",ἀπὸ, τῆς Εὐρώπης ἀπέχουσα
skylax_syntaxtrees_perseus.conllu,2572,2575,ἀπέχουσα στάδια ιβʹ ,ἐπὶ, Πελωριάδα ἀπὸ Ῥηγίου
skylax_syntaxtrees_perseus.conllu,2586,2589,ιβʹ ἐπὶ Πελωριάδα ,ἀπὸ, Ῥηγίου. ἐν
skylax_syntaxtrees_perseus.conllu,2598,2600,ἀπὸ Ῥηγίου. ,ἐν, δὲ Σικελίᾳ ἔθνη
skylax_syntaxtrees_perseus.conllu,2773,2776,πόλεις δ’ εἰσὶν ,ἀπὸ, Πελωριάδος Ἑλληνίδες αἵδε
skylax_syntaxtrees_perseus.conllu,2862,2865,", Λεοντῖνοι· ",εἰς, τοὺς Λεοντίνους δὲ
skylax_syntaxtrees_perseus.conllu,2885,2889,τοὺς Λεοντίνους δὲ ,κατὰ, Τηρίαν ποταμὸν ἀνάπλους
skylax_syntaxtrees_perseus.conllu,2914,2916,Τηρίαν ποταμὸν ἀνάπλους ,κʹ, σταδίων. Σύμαιθος
skylax_syntaxtrees_perseus.conllu,3038,3040,", καὶ λιμένες ",ἐν, αὐτῇ δύο·
skylax_syntaxtrees_perseus.conllu,3067,3072,τούτων ὁ ἕτερος ,ἐντὸς," τείχους, ὁ"
skylax_syntaxtrees_perseus.conllu,3098,3102,ἄλλος ἔξω. ,μετὰ, δὲ ταύτην πόλις
skylax_syntaxtrees_perseus.conllu,3150,3153,Πάχυνος ἀκρωτήριον. ,ἀπὸ, Παχύνου δὲ πόλεις
skylax_syntaxtrees_perseus.conllu,3245,3248,Λιλύβαιον ἀκρωτήριον. ,ἀπὸ, δὲ Λιλυβαίου πόλις
skylax_syntaxtrees_perseus.conllu,3370,3374,σταδίων ͵αφʹ. ,μετὰ, δὲ Ἱμέραν πόλιν
skylax_syntaxtrees_perseus.conllu,3453,3456,. ἔστι δὲ ,ἀπὸ, Μυλῶν ἐπὶ Λιπάραν
skylax_syntaxtrees_perseus.conllu,3463,3466,δὲ ἀπὸ Μυλῶν ,ἐπὶ, Λιπάραν νῆσον πλοῦς
skylax_syntaxtrees_perseus.conllu,3519,3522,ἐπάνειμι δὲ πάλιν ,ἐπὶ," τὴν ἤπειρον,"
skylax_syntaxtrees_perseus.conllu,3554,3557,ὅθεν ἐξετραπόμην. ,ἀπὸ, γὰρ Ῥηγίου πόλεις
skylax_syntaxtrees_perseus.conllu,3654,3656,"νῆσος Καλυψοῦς, ",ἐν, ᾗ Ὀδυσσεὺς ᾤκει
skylax_syntaxtrees_perseus.conllu,3673,3677,ᾗ Ὀδυσσεὺς ᾤκει ,παρὰ," Καλυψοῖ, καὶ"
skylax_syntaxtrees_perseus.conllu,3743,3745,πόλις. οὗτοι ,ἐν, τῇ Λευκανίᾳ Ἕλληνες
skylax_syntaxtrees_perseus.conllu,3776,3780,. Ἰαπυγία. ,μετὰ, δὲ τὴν Λευκανίαν
skylax_syntaxtrees_perseus.conllu,3818,3823,Ἰάπυγές εἰσιν ἔθνος ,μέχρι, Ὑρίωνος ὄρους τοῦ
skylax_syntaxtrees_perseus.conllu,3842,3844,Ὑρίωνος ὄρους τοῦ ,ἐν, τῷ κόλπῳ τῷ
skylax_syntaxtrees_perseus.conllu,3874,3878,Ἀδρίᾳ. παράπλους ,παρὰ, τὴν Ἰαπυγίαν ἓξ
skylax_syntaxtrees_perseus.conllu,3917,3919,ἓξ νυκτῶν. ,ἐν, δὲ τῇ Ἰαπυγίᾳ
skylax_syntaxtrees_perseus.conllu,4023,4026,"λιμήν, Ὑδροῦς ",ἐπὶ, τῷ τοῦ Ἀδρίου
skylax_syntaxtrees_perseus.conllu,4083,4087,. Δαυνῖται. ,μετὰ, δὲ Ἰάπυγας ἀπὸ
skylax_syntaxtrees_perseus.conllu,4099,4102,μετὰ δὲ Ἰάπυγας ,ἀπὸ, Ὑρίωνος Δαυνῖται ἔθνος
skylax_syntaxtrees_perseus.conllu,4133,4135,ἔθνος ἐστίν. ,ἐν, δὲ τούτῳ τῷ
skylax_syntaxtrees_perseus.conllu,4247,4250,", Πευκετιεῖς διήκοντες ",ἀπὸ, δὲ τοῦ Τυρσηνικοῦ
skylax_syntaxtrees_perseus.conllu,4278,4281,τοῦ Τυρσηνικοῦ πελάγους ,εἰς, τὸν Ἀδρίαν.
skylax_syntaxtrees_perseus.conllu,4358,4362,. Ὀμβρικοί. ,μετὰ, δὲ Δαυνίτας ἔθνος
skylax_syntaxtrees_perseus.conllu,4407,4409,", καὶ πόλις ",ἐν, αὐτοῖς Ἀγκών ἐστι
skylax_syntaxtrees_perseus.conllu,4474,4477,"Διομήδην, εὐεργετηθὲν ",ὑπ’, αὐτοῦ· καὶ
skylax_syntaxtrees_perseus.conllu,4573,4577,. Τυρρηνοί. ,μετὰ, δὲ τὸ Ὀμβρικὸν
skylax_syntaxtrees_perseus.conllu,4625,4628,δὲ καὶ οὗτοι ,ἀπὸ, τοῦ Τυρρηνικοῦ πελάγους
skylax_syntaxtrees_perseus.conllu,4660,4663,Τυρρηνικοῦ πελάγους ἔξωθεν ,εἰς, τὸν Ἀδρίαν κόλπον
skylax_syntaxtrees_perseus.conllu,4693,4695,. καὶ πόλις ,ἐν, αὐτοῖς Ἑλληνὶς Σπῖνα
skylax_syntaxtrees_perseus.conllu,4743,4746,· καὶ ἀνάπλους ,εἰς, τὴν πόλιν κατὰ
skylax_syntaxtrees_perseus.conllu,4757,4761,εἰς τὴν πόλιν ,κατὰ, ποταμὸν ὡς εἴκοσι
skylax_syntaxtrees_perseus.conllu,4817,4820,Τυρρηνία ἐστὶν διήκουσα ,ἀπὸ, τῆς ἔξωθεν θαλάττης
skylax_syntaxtrees_perseus.conllu,4841,4844,τῆς ἔξωθεν θαλάττης ,ἕως, εἰς τὸν Ἀδρίαν
skylax_syntaxtrees_perseus.conllu,4845,4848,ἔξωθεν θαλάττης ἕως ,εἰς, τὸν Ἀδρίαν κόλπον
skylax_syntaxtrees_perseus.conllu,4902,4905,παράπλους ἡμέρας μιᾶς ,ἀπὸ, †πόλεων πόλεως·
skylax_syntaxtrees_perseus.conllu,5025,5028,"τῆς στρατείας, ",ἐπὶ, στενῶν μέχρι Ἀδρίου
skylax_syntaxtrees_perseus.conllu,5036,5041,", ἐπὶ στενῶν ",μέχρι," Ἀδρίου, διήκοντες"
skylax_syntaxtrees_perseus.conllu,5060,5063,"Ἀδρίου, διήκοντες ",ἀπὸ, τῆς ἔξωθεν θαλάττης
skylax_syntaxtrees_perseus.conllu,5084,5087,τῆς ἔξωθεν θαλάττης ,ἕως, εἰς τὸν Ἀδρίαν
skylax_syntaxtrees_perseus.conllu,5088,5091,ἔξωθεν θαλάττης ἕως ,εἰς, τὸν Ἀδρίαν κόλπον
skylax_syntaxtrees_perseus.conllu,5163,5167,. Ἐνετοί. ,μετὰ, δὲ Κελτοὺς Ἐνετοί
skylax_syntaxtrees_perseus.conllu,5220,5222,καὶ ποταμὸς Ἠριδανὸς ,ἐν, αὐτοῖς. Ἐνετῶν
skylax_syntaxtrees_perseus.conllu,5257,5260,δὲ παράπλους ἐστὶν ,ἐπ’, εὐθείας ἀπὸ Πίσης
skylax_syntaxtrees_perseus.conllu,5269,5272,ἐστὶν ἐπ’ εὐθείας ,ἀπὸ, Πίσης πόλεως ἡμέρας
skylax_syntaxtrees_perseus.conllu,5307,5311,. Ἴστροι. ,μετὰ, δὲ Ἐνέτους εἰσὶν
skylax_syntaxtrees_perseus.conllu,5383,5386,ὁ ποταμὸς καὶ ,εἰς, τὸν Πόντον ἐκβάλλει
skylax_syntaxtrees_perseus.conllu,5407,5409,τὸν Πόντον ἐκβάλλει ,ἐν, διεσκεδασμένῃ εὐνῇ ὡς
skylax_syntaxtrees_perseus.conllu,5441,5444,ὡς ὁ Νεῖλος ,εἰς, Αἴγυπτον. παράπλους
skylax_syntaxtrees_perseus.conllu,5514,5518,. Λιβυρνοί. ,μετὰ, δὲ Ἴστρους Λιβυρνοί
skylax_syntaxtrees_perseus.conllu,5552,5554,εἰσιν ἔθνος. ,ἐν, δὲ τούτῳ τῷ
skylax_syntaxtrees_perseus.conllu,5585,5589,ἔθνει πόλεις εἰσὶ ,παρὰ, θάλατταν Ἀρσίας Δασσάτικα
skylax_syntaxtrees_perseus.conllu,5789,5793,πλησιοχώροις ἀνδράσι. ,κατὰ, ταύτην τὴν χώραν
skylax_syntaxtrees_perseus.conllu,6128,6132,παροικοῦσιν οἱ Ἰλλυριοὶ ,παρὰ, θάλατταν μέχρι Χαονίας
skylax_syntaxtrees_perseus.conllu,6142,6147,Ἰλλυριοὶ παρὰ θάλατταν ,μέχρι, Χαονίας τῆς κατὰ
skylax_syntaxtrees_perseus.conllu,6160,6164,μέχρι Χαονίας τῆς ,κατὰ, Κέρκυραν τὴν Ἀλκινόου
skylax_syntaxtrees_perseus.conllu,6494,6497,τῆς Πελοποννήσου. ,ἀπὸ, δὲ χερρονήσου .
skylax_syntaxtrees_perseus.conllu,6529,6533,. νῆσός ἐστι ,παρὰ, στόμιον ὀρθόν·
skylax_syntaxtrees_perseus.conllu,6663,6666,χώρας ἡμέρας μακρᾶς ,ἐπὶ, Νέστον ποταμόν.
skylax_syntaxtrees_perseus.conllu,6697,6700,Νέστοι. πλοῦς ,ἀπὸ, δὲ Νέστου ἐστι
skylax_syntaxtrees_perseus.conllu,6806,6808,. εἰσὶ δὲ ,ἐν, τούτῳ τῷ κόλπῳ
skylax_syntaxtrees_perseus.conllu,6865,6868,. αὗται δὲ ,ἀπ’, ἀλλήλων ἀπέχουσι στάδια
skylax_syntaxtrees_perseus.conllu,6911,6915,"ὀλίγῳ πλέον, ",κατὰ, Φάρον καὶ Ἴσσαν
skylax_syntaxtrees_perseus.conllu,7030,7033,αὗται. πρὶν ,ἐπὶ, τὸν Νάρωνα ποταμὸν
skylax_syntaxtrees_perseus.conllu,7091,7094,χώρα ἀνήκει σφόδρα ,εἰς, θάλασσαν. καὶ
skylax_syntaxtrees_perseus.conllu,7134,7139,τῆς παραλίας χώρας ,ἐγγὺς, ᾗ ὄνομα Μελίτη
skylax_syntaxtrees_perseus.conllu,7172,7177,καὶ ἑτέρα νῆσος ,ἐγγὺς, ταύτης ᾗ ὄνομα
skylax_syntaxtrees_perseus.conllu,7313,7316,ἑτέρῳ ἀκρωτηρίῳ καθήκει ,ἐπὶ, τὸν Νάρωνα ποταμόν
skylax_syntaxtrees_perseus.conllu,7337,7340,Νάρωνα ποταμόν. ,ἀπὸ, δὲ τῆς Μελίτης
skylax_syntaxtrees_perseus.conllu,7422,7425,. Μανιοί. ,ἀπὸ, δὲ Νέστων ἐστὶν
skylax_syntaxtrees_perseus.conllu,7475,7478,δὲ εἴσπλους ὁ ,εἰς, τὸν Νάρωνά ἐστιν
skylax_syntaxtrees_perseus.conllu,7518,7521,· εἰσπλεῖ δὲ ,εἰς, αὐτὸν καὶ τριήρης
skylax_syntaxtrees_perseus.conllu,7550,7553,τριήρης καὶ πλοῖα ,εἰς, τὸ ἄνω ἐμπόριον
skylax_syntaxtrees_perseus.conllu,7578,7581,"ἐμπόριον, ἀπέχον ",ἀπὸ, θαλάσσης στάδια πʹ
skylax_syntaxtrees_perseus.conllu,7598,7600,ἀπὸ θαλάσσης στάδια ,πʹ,. οὗτοι δέ
skylax_syntaxtrees_perseus.conllu,7657,7661,δ’ ἐστὶ τὸ ,εἴσω, τοῦ ἐμπορίου μεγάλη
skylax_syntaxtrees_perseus.conllu,7702,7705,ἀνήκει ἡ λίμνη ,εἰς," Αὐταριάτας, ἔθνος"
skylax_syntaxtrees_perseus.conllu,7745,7747,. καὶ νῆσος ,ἐν, τῇ λίμνῃ ἔνεστι
skylax_syntaxtrees_perseus.conllu,7772,7775,λίμνῃ ἔνεστι σταδίων ,ρκʹ,· ἡ δὲ
skylax_syntaxtrees_perseus.conllu,7817,7820,εὐγέωργος σφόδρα. ,ἀπὸ, δὲ ταύτης τῆς
skylax_syntaxtrees_perseus.conllu,7871,7874,ἀπορρεῖ. καὶ ,ἀπὸ, τοῦ Νάρωνος ἐπὶ
skylax_syntaxtrees_perseus.conllu,7887,7890,ἀπὸ τοῦ Νάρωνος ,ἐπὶ, τὸν Ἀρίωνα ποταμὸν
skylax_syntaxtrees_perseus.conllu,7929,7932,ἐστὶ πλοῦς· ,ἀπὸ, δὲ τοῦ Ἀρίωνος
skylax_syntaxtrees_perseus.conllu,7948,7951,δὲ τοῦ Ἀρίωνος ,ἐπὶ, τὸν Ῥιζοῦντα ποταμὸν
skylax_syntaxtrees_perseus.conllu,8051,8057,", καὶ ἱερὸν ",ἄπωθεν, τοῦ Ῥιζοῦντος ποταμοῦ
skylax_syntaxtrees_perseus.conllu,8081,8084,Ῥιζοῦντος ποταμοῦ. ,ἀπὸ, δὲ τοῦ Ῥιζοῦντος
skylax_syntaxtrees_perseus.conllu,8110,8113,τοῦ Ῥιζοῦντος ποταμοῦ ,εἰς, Βουθόην ὁ πλοὺς
skylax_syntaxtrees_perseus.conllu,8215,8217,τοῦ Ῥιζοῦντος. ,ἐκ, Βουθόης δὲ εἰς
skylax_syntaxtrees_perseus.conllu,8229,8232,ἐκ Βουθόης δὲ ,εἰς," Ἐπίδαμνον, πόλιν"
skylax_syntaxtrees_perseus.conllu,8355,8357,τὸ Ἰλλυρικὸν ἔθνος ,ἐν, ᾧ ἡ Ἐπίδαμνός
skylax_syntaxtrees_perseus.conllu,8390,8394,", καὶ ποταμὸς ",παρὰ, τὴν πόλιν παραρρεῖ
skylax_syntaxtrees_perseus.conllu,8433,8435,ὄνομα Πάλαμνος. ,ἐκ, δὲ Ἐπιδάμνου εἰς
skylax_syntaxtrees_perseus.conllu,8449,8452,ἐκ δὲ Ἐπιδάμνου ,εἰς, Ἀπολλωνίαν πόλιν Ἑλληνίδα
skylax_syntaxtrees_perseus.conllu,8511,8514,ἡ δὲ Ἀπολλωνία ,ἀπὸ, τῆς θαλάττης ἀπέχει
skylax_syntaxtrees_perseus.conllu,8583,8586,τὴν πόλιν. ,ἀπὸ, δὲ Ἀπολλωνίας εἰς
skylax_syntaxtrees_perseus.conllu,8601,8604,ἀπὸ δὲ Ἀπολλωνίας ,εἰς, Ἀμαντίαν ἐστὶ στάδια
skylax_syntaxtrees_perseus.conllu,8650,8653,ὁ Αἴας ποταμὸς ,ἀπὸ, τοῦ Πίνδου ὄρους
skylax_syntaxtrees_perseus.conllu,8671,8675,τοῦ Πίνδου ὄρους ,παρὰ, τὴν Ἀπολλωνίαν παραρρεῖ
skylax_syntaxtrees_perseus.conllu,8703,8707,παραρρεῖ. — ,πρὸς, Ὠρικὸν εἴσω μᾶλλον
skylax_syntaxtrees_perseus.conllu,8727,8730,Ὠρικὸν εἴσω μᾶλλον ,εἰς, τὸν κόλπον.
skylax_syntaxtrees_perseus.conllu,8763,8766,τῆς Ὠρικίας καθήκει ,εἰς, θάλατταν στάδια πʹ
skylax_syntaxtrees_perseus.conllu,8783,8785,εἰς θάλατταν στάδια ,πʹ,", τῆς δὲ"
skylax_syntaxtrees_perseus.conllu,8828,8830,. Ἄμασιν ὅμοροι ,ἐν, μεσογείᾳ Ἀτιντᾶνες ὑπὲρ
skylax_syntaxtrees_perseus.conllu,8850,8854,ἐν μεσογείᾳ Ἀτιντᾶνες ,ὑπὲρ, τῆς Ὠρικίας καὶ
skylax_syntaxtrees_perseus.conllu,8878,8883,Ὠρικίας καὶ Καρίας ,μέχρι, Ἰδωνίας. ἐν
skylax_syntaxtrees_perseus.conllu,8893,8895,μέχρι Ἰδωνίας. ,ἐν, τῇ Κάστιδι χώρᾳ
skylax_syntaxtrees_perseus.conllu,9009,9013,βοῦς βουκολεῖν. ,κατὰ, ταῦτά ἐστι τὰ
skylax_syntaxtrees_perseus.conllu,9041,9043,τὰ Κεραύνια ὄρη ,ἐν," τῇ ἠπείρῳ,"
skylax_syntaxtrees_perseus.conllu,9065,9069,", καὶ νῆσος ",παρὰ, ταῦτά ἐστι μικρὰ
skylax_syntaxtrees_perseus.conllu,9111,9114,Σάσων. ἐντεῦθεν ,εἰς, Ὠρικὸν πόλιν ἐστὶ
skylax_syntaxtrees_perseus.conllu,9235,9240,. οἵδεἈμαντιεῖς εἰσὶ ,μέχρι, ἐνταῦθα Ἰλλυριοὶ ἀπὸ
skylax_syntaxtrees_perseus.conllu,9258,9261,μέχρι ἐνταῦθα Ἰλλυριοὶ ,ἀπὸ, Βουλινῶν. τὸ
skylax_syntaxtrees_perseus.conllu,9308,9311,Ἰονίου κόλπου ἐστὶν ,ἀπὸ, Κεραυνίων ὀρῶν μέχρι
skylax_syntaxtrees_perseus.conllu,9327,9332,ἀπὸ Κεραυνίων ὀρῶν ,μέχρι, ἄκρας Ἰαπυγίας.
skylax_syntaxtrees_perseus.conllu,9349,9352,ἄκρας Ἰαπυγίας. ,ἐπὶ, δὲ Ὑδρόεντα πόλιν
skylax_syntaxtrees_perseus.conllu,9371,9373,δὲ Ὑδρόεντα πόλιν ,ἐν, τῇ Ἰαπυγίᾳ ἀπὸ
skylax_syntaxtrees_perseus.conllu,9385,9388,ἐν τῇ Ἰαπυγίᾳ ,ἀπὸ, τῶν Κεραυνίων στάδια
skylax_syntaxtrees_perseus.conllu,9463,9468,· τὰ δὲ ,ἐντὸς, ὁ Ἰόνιος.
skylax_syntaxtrees_perseus.conllu,9499,9501,λιμένες εἰσὶ πολλοὶ ,ἐν, τῷ Ἀδρίᾳ·
skylax_syntaxtrees_perseus.conllu,9555,9559,. Χάονες. ,μετὰ, δὲ Ἰλλυριοὺς Χάονες
skylax_syntaxtrees_perseus.conllu,9621,9625,· οἰκοῦσι δὲ ,κατὰ, κώμας οἱ Χάονες
skylax_syntaxtrees_perseus.conllu,9692,9696,. Κόρκυρα. ,κατὰ, δὲ Χαονίαν νῆσός
skylax_syntaxtrees_perseus.conllu,9745,9747,καὶ πόλις Ἑλληνὶς ,ἐν," αὐτῇ, λιμένας"
skylax_syntaxtrees_perseus.conllu,9775,9779,λιμένας ἔχουσα τρεῖς ,κατὰ, τὴν πόλιν·
skylax_syntaxtrees_perseus.conllu,9839,9842,δὲ Κόρκυρα καὶ ,ἐπὶ, τὴν Θεσπρωτίαν πλεῖον
skylax_syntaxtrees_perseus.conllu,9867,9870,Θεσπρωτίαν πλεῖον ἢ ,ἐπὶ, τὴν Χαονίαν.
skylax_syntaxtrees_perseus.conllu,9902,9905,ἐπάνειμι δὲ πάλιν ,ἐπὶ," τὴν ἤπειρον,"
skylax_syntaxtrees_perseus.conllu,9948,9952,. Θεσπρωτοί. ,μετὰ, δὲ Χαονίαν Θεσπρωτοί
skylax_syntaxtrees_perseus.conllu,10008,10012,δὲ καὶ οὗτοι ,κατὰ, κώμας· ἔστι
skylax_syntaxtrees_perseus.conllu,10082,10085,ὄνομα Ἐλαία· ,εἰς, τοῦτον τὸν λιμένα
skylax_syntaxtrees_perseus.conllu,10149,10151,"λίμνη Ἀχερουσία, ",ἐξ, ἧς ὁ Ἀχέρων
skylax_syntaxtrees_perseus.conllu,10229,10233,. Κασσωποί. ,μετὰ, δὲ Θεσπρωτίαν Κασσωπία
skylax_syntaxtrees_perseus.conllu,10291,10295,δὲ καὶ οὗτοι ,κατὰ, κώμας. παροικοῦσι
skylax_syntaxtrees_perseus.conllu,10323,10326,παροικοῦσι δὲ οὗτοι ,ἕως, εἰς τὸν Ἀνακτορικὸν
skylax_syntaxtrees_perseus.conllu,10327,10330,δὲ οὗτοι ἕως ,εἰς, τὸν Ἀνακτορικὸν κόλπον
skylax_syntaxtrees_perseus.conllu,10450,10453,Ἀνακτορικὸς κόλπος ἐστὶν ,ἀπὸ, τοῦ στόματος ἕως
skylax_syntaxtrees_perseus.conllu,10467,10470,ἀπὸ τοῦ στόματος ,ἕως, εἰς τὸν μυχὸν
skylax_syntaxtrees_perseus.conllu,10471,10474,τοῦ στόματος ἕως ,εἰς, τὸν μυχὸν σταδίων
skylax_syntaxtrees_perseus.conllu,10538,10542,. Μολοττία. ,μετὰ, δὲ Κασσωπίαν Μολοττοί
skylax_syntaxtrees_perseus.conllu,10595,10599,οἰκοῦσι δὲ οὗτοι ,κατὰ, κώμας· καθήκουσι
skylax_syntaxtrees_perseus.conllu,10620,10624,· καθήκουσι δὲ ,κατὰ, μικρὸν ἐνταῦθα ἐπὶ
skylax_syntaxtrees_perseus.conllu,10640,10643,κατὰ μικρὸν ἐνταῦθα ,ἐπὶ," τὴν θάλατταν,"
skylax_syntaxtrees_perseus.conllu,10658,10661,"τὴν θάλατταν, ",εἰς, μεσογείαν δὲ πολλῇ
skylax_syntaxtrees_perseus.conllu,10742,10746,. Ἀμβρακία. ,μετὰ, δὲ Μολοττίαν Ἀμβρακία
skylax_syntaxtrees_perseus.conllu,10799,10802,ἀπέχει δὲ αὕτη ,ἀπὸ, θαλάττης στάδια πʹ
skylax_syntaxtrees_perseus.conllu,10819,10821,ἀπὸ θαλάττης στάδια ,πʹ,. ἔστι δὲ
skylax_syntaxtrees_perseus.conllu,10835,10838,ἔστι δὲ καὶ ,ἐπὶ, θαλάττης τεῖχος καὶ
skylax_syntaxtrees_perseus.conllu,10914,10919,Ἑλλὰς συνεχὴς εἶναι ,μέχρι, Πηνειοῦ ποταμοῦ καὶ
skylax_syntaxtrees_perseus.conllu,10974,10978,", ἥ ἐστι ",παρὰ, τὸν ποταμόν.
skylax_syntaxtrees_perseus.conllu,11042,11046,. Ἀκαρνανία. ,μετὰ, δὲ Ἀμβρακίαν Ἀκαρνανία
skylax_syntaxtrees_perseus.conllu,11151,11153,Εὔριπος καὶ Θύρρειον ,ἐν, τῷ κοινῷ.
skylax_syntaxtrees_perseus.conllu,11168,11171,κοινῷ. καὶ ,ἔξω, τοῦ Ἀμβρακικοῦ κόλπου
skylax_syntaxtrees_perseus.conllu,11274,11277,· αὕτη ἀνέχει ,ἐπὶ," τὸν Λευκάταν,"
skylax_syntaxtrees_perseus.conllu,11320,11322,ἐστιν ἀκρωτήριον πόρρωθεν ,ἐν, τῇ θαλάττῃ ὁρατόν
